free fall at 7s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
1,770	0,429	-0,908	-0,365	-32,135	-13,245	-25,665
1,780	0,429	-0,900	-0,360	-31,769	-13,855	-23,621
1,790	0,428	-0,884	-0,350	-31,189	-13,306	-21,851
1,800	0,424	-0,862	-0,342	-31,128	-11,932	-20,844
1,810	0,417	-0,841	-0,339	-31,586	-10,101	-20,721
1,820	0,411	-0,826	-0,343	-31,830	-8,148	-21,210
1,830	0,408	-0,818	-0,350	-31,097	-6,287	-21,973
1,840	0,406	-0,807	-0,360	-29,297	-4,517	-23,041
1,850	0,399	-0,794	-0,372	-27,618	-3,387	-24,353
1,860	0,391	-0,785	-0,385	-27,344	-3,998	-25,299
1,870	0,391	-0,773	-0,394	-28,442	-6,714	-25,299
1,880	0,394	-0,757	-0,397	-30,365	-10,468	-24,567
1,890	0,397	-0,739	-0,395	-32,104	-14,130	-23,743
1,900	0,400	-0,725	-0,391	-32,776	-16,876	-23,132
1,910	0,401	-0,714	-0,385	-32,318	-18,158	-22,736
1,920	0,401	-0,708	-0,380	-30,823	-18,188	-22,247
1,930	0,403	-0,705	-0,379	-28,412	-17,334	-21,698
1,940	0,405	-0,706	-0,384	-25,574	-16,266	-21,179
1,950	0,404	-0,709	-0,388	-22,888	-15,625	-20,477
1,960	0,406	-0,714	-0,392	-20,630	-15,930	-19,226
1,970	0,405	-0,718	-0,396	-18,616	-16,724	-17,181
1,980	0,402	-0,716	-0,401	-16,571	-17,761	-14,221
1,990	0,396	-0,709	-0,406	-14,771	-19,409	-10,925
2,000	0,394	-0,703	-0,407	-13,428	-21,698	-7,782
2,010	0,398	-0,697	-0,407	-12,177	-24,200	-5,005
2,020	0,405	-0,693	-0,402	-11,017	-26,520	-2,838
2,030	0,409	-0,690	-0,401	-10,406	-28,381	-1,129
2,040	0,407	-0,687	-0,400	-10,651	-30,334	0,397
2,050	0,415	-0,685	-0,401	-11,963	-33,051	1,434
2,060	0,426	-0,691	-0,402	-14,374	-35,919	1,801
2,070	0,429	-0,699	-0,405	-16,663	-37,811	2,411
2,080	0,425	-0,704	-0,417	-17,883	-38,696	3,571
2,090	0,413	-0,708	-0,440	-18,219	-38,788	5,096
2,100	0,401	-0,712	-0,471	-17,853	-39,429	6,683
2,110	0,389	-0,716	-0,508	-16,479	-41,595	7,751
2,120	0,374	-0,715	-0,533	-14,709	-45,288	7,690
2,130	0,351	-0,714	-0,535	-14,069	-50,079	7,111
2,140	0,322	-0,708	-0,511	-15,442	-56,061	6,073
2,150	0,305	-0,704	-0,479	-18,890	-61,310	5,096
2,160	0,302	-0,711	-0,462	-22,766	-63,721	4,547
2,170	0,317	-0,720	-0,474	-24,170	-63,232	4,028
2,180	0,350	-0,735	-0,507	-22,583	-60,272	3,723
2,190	0,398	-0,760	-0,551	-17,639	-55,908	4,883
2,200	0,430	-0,786	-0,576	-9,552	-50,964	8,545
2,210	0,442	-0,794	-0,582	-1,465	-46,997	14,130
2,220	0,430	-0,793	-0,573	4,089	-43,427	20,905
2,230	0,404	-0,792	-0,568	7,965	-39,032	27,527
2,240	0,373	-0,779	-0,570	11,993	-34,882	32,684
2,250	0,340	-0,759	-0,569	16,296	-31,647	34,821
2,260	0,308	-0,735	-0,560	19,745	-29,083	32,776
2,270	0,296	-0,734	-0,526	20,996	-25,269	27,985
2,280	0,302	-0,787	-0,507	20,538	-18,097	24,017
2,290	0,313	-0,823	-0,530	22,583	-11,444	23,621
2,300	0,311	-0,825	-0,548	25,818	-7,263	26,794
2,310	0,297	-0,815	-0,566	26,764	-6,958	29,968
2,320	0,286	-0,820	-0,571	24,231	-9,644	31,830
2,330	0,283	-0,834	-0,565	20,721	-12,726	33,447
2,340	0,287	-0,829	-0,555	19,348	-14,069	34,851
2,350	0,294	-0,810	-0,559	21,698	-13,489	33,936
2,360	0,292	-0,807	-0,587	25,452	-12,451	30,243
2,370	0,282	-0,820	-0,617	26,672	-13,580	25,879
2,380	0,269	-0,835	-0,627	23,163	-18,127	23,529
2,390	0,261	-0,846	-0,606	17,487	-23,590	22,888
2,400	0,260	-0,852	-0,565	14,221	-26,123	23,071
2,410	0,261	-0,851	-0,538	15,869	-24,567	23,193
2,420	0,254	-0,845	-0,543	21,118	-19,592	22,522
2,430	0,246	-0,842	-0,571	26,581	-14,374	21,637
2,440	0,248	-0,853	-0,589	27,863	-11,383	20,782
2,450	0,255	-0,871	-0,582	24,536	-10,376	19,714
2,460	0,266	-0,889	-0,574	19,501	-9,430	17,578
2,470	0,266	-0,901	-0,565	14,801	-7,385	13,885
2,480	0,258	-0,908	-0,560	10,925	-5,585	9,552
2,490	0,240	-0,910	-0,564	6,927	-4,761	5,646
2,500	0,222	-0,900	-0,568	1,678	-5,798	3,448
2,510	0,211	-0,889	-0,569	-4,120	-8,545	3,052
2,520	0,201	-0,887	-0,568	-8,789	-11,261	3,479
2,530	0,192	-0,893	-0,561	-11,627	-12,848	4,395
2,540	0,189	-0,895	-0,555	-12,024	-12,878	5,798
2,550	0,190	-0,900	-0,557	-10,223	-11,597	6,927
2,560	0,191	-0,904	-0,567	-7,233	-9,705	7,446
2,570	0,192	-0,901	-0,576	-4,303	-7,904	7,660
2,580	0,200	-0,895	-0,577	-1,740	-6,958	7,477
2,590	0,209	-0,903	-0,587	0,549	-6,500	5,463
2,600	0,211	-0,914	-0,597	2,533	-5,981	1,434
2,610	0,206	-0,917	-0,609	4,456	-5,341	-3,723
2,620	0,191	-0,926	-0,626	6,287	-5,157	-8,911
2,630	0,180	-0,941	-0,638	8,423	-5,829	-13,275
2,640	0,175	-0,955	-0,638	11,108	-6,775	-16,357
2,650	0,176	-0,960	-0,635	14,069	-7,202	-17,700
2,660	0,181	-0,947	-0,634	16,876	-6,561	-16,876
2,670	0,192	-0,929	-0,636	18,311	-5,493	-14,557
2,680	0,219	-0,927	-0,637	16,907	-6,561	-12,207
2,690	0,239	-0,935	-0,634	12,909	-9,247	-11,597
2,700	0,236	-0,948	-0,616	9,186	-11,353	-13,397
2,710	0,206	-0,964	-0,587	8,698	-12,512	-16,266
2,720	0,178	-0,976	-0,564	12,115	-14,435	-17,822
2,730	0,163	-0,977	-0,564	16,937	-17,639	-15,991
2,740	0,163	-0,968	-0,586	21,210	-20,721	-11,627
2,750	0,167	-0,951	-0,622	22,736	-22,552	-6,439
2,760	0,171	-0,928	-0,655	18,921	-23,804	-0,854
2,770	0,171	-0,914	-0,673	8,789	-25,574	4,913
2,780	0,169	-0,919	-0,676	-6,500	-28,473	10,437
2,790	0,161	-0,932	-0,668	-23,773	-31,342	15,900
2,800	0,137	-0,913	-0,627	-37,689	-33,173	22,156
2,810	0,125	-0,915	-0,596	-45,715	-33,417	29,755
2,820	0,143	-0,923	-0,575	-47,241	-32,196	37,292
2,830	0,183	-0,924	-0,565	-44,769	-29,968	41,931
2,840	0,216	-0,894	-0,566	-41,718	-28,290	41,840
2,850	0,234	-0,869	-0,563	-40,527	-28,564	37,506
2,860	0,226	-0,882	-0,561	-40,833	-30,151	30,365
2,870	0,205	-0,912	-0,566	-40,253	-31,189	23,346
2,880	0,188	-0,914	-0,580	-38,330	-31,128	17,975
2,890	0,175	-0,880	-0,596	-37,201	-30,273	14,130
2,900	0,156	-0,855	-0,619	-38,513	-29,877	11,597
2,910	0,138	-0,849	-0,654	-39,856	-29,297	8,087
2,920	0,110	-0,822	-0,677	-41,412	-28,229	2,747
2,930	0,094	-0,789	-0,675	-46,997	-31,036	-2,380
2,940	0,083	-0,779	-0,653	-55,237	-36,499	-6,439
2,950	0,066	-0,827	-0,629	-61,493	-41,046	-8,636
2,960	0,062	-0,879	-0,615	-63,263	-42,389	-6,531
2,970	0,091	-0,897	-0,616	-63,904	-42,664	0,031
2,980	0,126	-0,883	-0,636	-67,413	-41,046	6,470
2,990	0,142	-0,855	-0,657	-74,219	-37,781	10,345
3,000	0,139	-0,824	-0,679	-82,764	-33,966	12,085
3,010	0,124	-0,786	-0,698	-91,644	-30,945	11,841
3,020	0,101	-0,737	-0,706	-100,433	-29,449	10,010
3,030	0,077	-0,687	-0,708	-107,880	-29,816	6,836
3,040	0,057	-0,648	-0,706	-112,366	-31,738	2,075
3,050	0,049	-0,631	-0,699	-113,098	-34,180	-4,242
3,060	0,060	-0,647	-0,691	-110,596	-36,987	-11,230
3,070	0,074	-0,677	-0,685	-105,713	-38,910	-18,372
3,080	0,076	-0,699	-0,694	-100,189	-39,276	-24,323
3,090	0,063	-0,708	-0,706	-94,727	-37,567	-27,649
3,100	0,048	-0,702	-0,715	-88,196	-34,393	-27,649
3,110	0,044	-0,693	-0,729	-80,536	-30,212	-24,597
3,120	0,050	-0,682	-0,755	-72,083	-25,757	-19,928
3,130	0,060	-0,668	-0,793	-63,141	-21,606	-15,503
3,140	0,072	-0,657	-0,837	-54,779	-18,097	-12,665
3,150	0,076	-0,654	-0,881	-47,546	-15,259	-12,390
3,160	0,070	-0,662	-0,922	-42,816	-13,153	-14,435
3,170	0,052	-0,673	-0,946	-41,473	-12,848	-16,571
3,180	0,028	-0,681	-0,942	-44,434	-13,306	-16,785
3,190	0,003	-0,699	-0,934	-53,680	-13,092	-13,885
3,200	-0,013	-0,722	-0,933	-64,728	-14,587	-8,026
3,210	-0,022	-0,730	-0,936	-72,876	-17,944	-0,061
3,220	-0,026	-0,717	-0,933	-76,324	-22,766	8,301
3,230	-0,028	-0,687	-0,925	-76,141	-27,710	15,289
3,240	-0,026	-0,679	-0,906	-74,158	-31,738	20,081
3,250	-0,021	-0,681	-0,888	-69,855	-35,034	25,085
3,260	0,000	-0,653	-0,862	-64,148	-38,361	29,938
3,270	0,019	-0,617	-0,838	-58,563	-39,154	32,532
3,280	0,068	-0,538	-0,741	-52,399	-36,957	32,379
3,290	0,054	-0,492	-0,715	-40,985	-27,863	23,743
3,300	-0,015	-0,452	-0,725	-26,154	-20,447	11,383
3,310	-0,109	-0,436	-0,720	-13,733	-13,062	3,326
3,320	-0,195	-0,459	-0,720	-4,639	-8,057	3,204
3,330	-0,202	-0,488	-0,721	3,357	-4,730	12,878
3,340	-0,157	-0,539	-0,784	13,336	-4,089	28,412
3,350	-0,081	-0,553	-0,830	26,306	-7,141	43,182
3,360	-0,038	-0,516	-0,849	37,598	-9,460	52,734
3,370	-0,042	-0,456	-0,855	43,793	-10,529	56,122
3,380	-0,071	-0,411	-0,868	45,258	-11,932	55,298
3,390	-0,094	-0,391	-0,875	44,098	-14,160	52,429
3,400	-0,095	-0,401	-0,858	42,419	-15,625	49,561
