potential human fall at 5 s						
	Acceleration [g]			Rotation [dps]		
Time [s]	AX	AY	AZ	GX	GY	GZ
1,820	-0,010	0,066	-1,055	23,376	-18,829	-6,592
1,830	-0,021	0,100	-1,058	18,188	-15,900	-5,737
1,840	-0,017	0,111	-1,041	14,343	-11,322	-4,089
1,850	0,001	0,118	-1,025	12,115	-6,866	-2,930
1,860	0,028	0,109	-1,025	10,193	-3,448	-2,228
1,870	0,047	0,097	-1,023	7,782	-0,885	-1,770
1,880	0,051	0,097	-1,010	4,822	0,854	-1,312
1,890	0,052	0,099	-1,004	1,770	0,671	-0,641
1,900	0,059	0,108	-1,004	-0,885	-0,488	0,397
1,910	0,062	0,110	-1,000	-3,296	-1,038	1,251
1,920	0,059	0,109	-0,998	-4,883	-1,434	1,587
1,930	0,053	0,105	-0,996	-5,219	-1,709	1,038
1,940	0,041	0,116	-1,002	-4,822	-1,373	-0,397
1,950	0,026	0,124	-1,002	-4,120	-0,092	-1,740
1,960	0,018	0,136	-0,997	-3,723	0,824	-2,594
1,970	0,014	0,140	-0,997	-3,967	1,709	-2,625
1,980	0,023	0,137	-1,002	-5,188	3,204	-1,923
1,990	0,038	0,130	-1,001	-6,927	4,456	-0,488
2,000	0,052	0,123	-0,993	-8,942	4,578	0,916
2,010	0,066	0,117	-0,992	-10,406	3,845	2,075
2,020	0,073	0,117	-1,000	-11,292	2,991	2,777
2,030	0,067	0,118	-1,012	-12,207	2,869	2,686
2,040	0,048	0,118	-1,006	-13,092	3,815	1,984
2,050	0,032	0,127	-0,988	-13,031	5,219	1,190
2,060	0,027	0,144	-0,981	-11,658	5,615	0,519
2,070	0,037	0,163	-0,982	-10,132	5,768	0,305
2,080	0,051	0,174	-0,987	-9,125	6,592	0,488
2,090	0,065	0,175	-0,985	-8,698	7,416	0,885
2,100	0,075	0,163	-0,981	-8,209	8,026	1,282
2,110	0,074	0,150	-0,973	-7,446	7,721	1,282
2,120	0,068	0,137	-0,968	-5,798	6,226	0,763
2,130	0,066	0,135	-0,970	-3,418	3,723	-0,305
2,140	0,069	0,150	-0,980	-1,495	1,526	-1,068
2,150	0,068	0,163	-0,985	-0,916	0,763	-0,793
2,160	0,064	0,167	-0,980	-1,312	0,702	0,153
2,170	0,064	0,165	-0,978	-1,465	0,275	0,885
2,180	0,064	0,157	-0,989	-1,373	0,244	0,946
2,190	0,059	0,143	-0,999	-1,587	1,068	0,305
2,200	0,059	0,129	-0,998	-2,197	1,984	-0,793
2,210	0,064	0,125	-0,990	-2,777	2,838	-2,106
2,220	0,068	0,128	-0,985	-3,113	3,754	-3,113
2,230	0,067	0,139	-0,984	-3,235	4,120	-3,540
2,240	0,071	0,154	-0,985	-3,418	3,571	-3,357
2,250	0,074	0,161	-0,984	-4,089	2,747	-2,747
2,260	0,072	0,162	-0,983	-4,791	1,923	-1,740
